"x","y"
-3.6,-51.4
-3.59,-52.84
-3.58,-54.38
-3.57,-51.22
-3.56,-54.46
-3.55,-51.2
-3.54,-48.94
-3.53,-52.08
-3.52,-53.82
-3.51,-51.56
-3.5,-49.6
-3.49,-48.34
-3.48,-51.88
-3.47,-44.22
-3.46,-47.06
-3.45,-45.6
-3.44,-48.44
-3.43,-46.68
-3.42,-46.52
-3.41,-45.86
-3.4,-45.3
-3.39,-45.84
-3.38,-45.18
-3.37,-48.12
-3.36,-46.06
-3.35,-47.3
-3.34,-44.64
-3.33,-44.58
-3.32,-49.62
-3.31,-42.76
-3.3,-42.9
-3.29,-42.64
-3.28,-44.48
-3.27,-41.12
-3.26,-38.46
-3.25,-46
-3.24,-42.54
-3.23,-42.28
-3.22,-39.12
-3.21,-42.06
-3.2,-45.5
-3.19,-41.04
-3.18,-39.58
-3.17,-43.12
-3.16,-40.46
-3.15,-39.3
-3.14,-41.04
-3.13,-39.28
-3.12,-34.82
-3.11,-37.46
-3.1,-38.3
-3.09,-39.34
-3.08,-34.28
-3.07,-34.62
-3.06,-34.46
-3.05,-38.9
-3.04,-37.44
-3.03,-34.38
-3.02,-33.02
-3.01,-38.26
-3,-36.4
-2.99,-35.94
-2.98,-35.68
-2.97,-34.12
-2.96,-36.86
-2.95,-33.2
-2.94,-31.24
-2.93,-35.38
-2.92,-35.42
-2.91,-33.46
-2.9,-34.1
-2.89,-31.04
-2.88,-32.48
-2.87,-31.22
-2.86,-33.36
-2.85,-32.8
-2.84,-30.54
-2.83,-31.68
-2.82,-31.32
-2.81,-29.26
-2.8,-30
-2.79,-26.94
-2.78,-28.88
-2.77,-27.82
-2.76,-27.66
-2.75,-27.5
-2.74,-25.54
-2.73,-27.88
-2.72,-25.62
-2.71,-26.16
-2.7,-27.6
-2.69,-25.54
-2.68,-28.28
-2.67,-27.32
-2.66,-26.36
-2.65,-27.9
-2.64,-22.94
-2.63,-27.78
-2.62,-27.12
-2.61,-26.66
-2.6,-23.4
-2.59,-22.64
-2.58,-22.88
-2.57,-22.12
-2.56,-20.96
-2.55,-21.6
-2.54,-19.44
-2.53,-21.58
-2.52,-22.12
-2.51,-20.66
-2.5,-23.6
-2.49,-22.84
-2.48,-19.18
-2.47,-21.92
-2.46,-27.16
-2.45,-20.1
-2.44,-21.84
-2.43,-17.48
-2.42,-21.92
-2.41,-19.86
-2.4,-18.7
-2.39,-17.64
-2.38,-15.78
-2.37,-17.92
-2.36,-19.76
-2.35,-15.8
-2.34,-16.34
-2.33,-16.88
-2.32,-13.62
-2.31,-16.46
-2.3,-16.8
-2.29,-19.34
-2.28,-15.98
-2.27,-14.52
-2.26,-15.56
-2.25,-16.6
-2.24,-14.14
-2.23,-13.68
-2.22,-11.72
-2.21,-15.46
-2.2,-11.8
-2.19,-15.24
-2.18,-13.98
-2.17,-13.12
-2.16,-13.56
-2.15,-12.6
-2.14,-14.84
-2.13,-16.88
-2.12,-11.82
-2.11,-12.06
-2.1,-13.1
-2.09,-11.94
-2.08,-8.58
-2.07,-7.12
-2.06,-9.46
-2.05,-10.9
-2.04,-8.74
-2.03,-11.78
-2.02,-8.32
-2.01,-8.66
-2,-7.1
-1.99,-10.74
-1.98,-4.48
-1.97,-6.52
-1.96,-7.46
-1.95,-6.9
-1.94,-10.84
-1.93,-6.48
-1.92,-4.72
-1.91,-1.86
-1.9,-6.4
-1.89,-5.84
-1.88,-5.88
-1.87,-7.42
-1.86,-3.76
-1.85,-2.7
-1.84,-2.54
-1.83,0.32
-1.82,-1.82
-1.81,-5.36
-1.8,-4.6
-1.79,-5.44
-1.78,-4.78
-1.77,-3.72
-1.76,-0.659999999999999
-1.75,-0.5
-1.74,-2.74
-1.73,-1.98
-1.72,-0.819999999999997
-1.71,-4.06
-1.7,-2.6
-1.69,-2.14
-1.68,-1.88
-1.67,-3.22
-1.66,-3.16
-1.65,-2.7
-1.64,0.0599999999999983
-1.63,0.120000000000002
-1.62,1.08
-1.61,-1.96
-1.6,-4
-1.59,4.06
-1.58,4.82
-1.57,3.98
-1.56,4.14
-1.55,-0.499999999999999
-1.54,1.56
-1.53,0.620000000000002
-1.52,3.48
-1.51,2.44
-1.5,4.3
-1.49,0.660000000000001
-1.48,2.82
-1.47,5.38
-1.46,1.54
-1.45,3.8
-1.44,4.56
-1.43,4.12
-1.42,2.68
-1.41,2.44
-1.4,4.8
-1.39,4.16
-1.38,5.62
-1.37,4.68
-1.36,5.14
-1.35,5.5
-1.34,8.36
-1.33,5.32
-1.32,5.88
-1.31,4.24
-1.3,3.6
-1.29,7.46
-1.28,3.92
-1.27,7.58
-1.26,7.74
-1.25,7.1
-1.24,10.86
-1.23,9.22
-1.22,11.68
-1.21,7.14
-1.2,7.6
-1.19,5.76
-1.18,8.92
-1.17,7.68
-1.16,12.54
-1.15,12
-1.14,9.16
-1.13,11.32
-1.12,6.38
-1.11,9.94
-1.1,10.8
-1.09,10.36
-1.08,12.02
-1.07,16.98
-1.06,12.14
-1.05,13.2
-1.04,12.96
-1.03,12.12
-1.02,11.38
-1.01,11.84
-1,10.7
-0.99,15.16
-0.98,14.52
-0.97,14.68
-0.96,12.34
-0.95,14.3
-0.94,15.16
-0.93,13.72
-0.92,16.38
-0.91,18.54
-0.9,12.6
-0.89,20.06
-0.88,16.32
-0.87,17.78
-0.86,16.64
-0.85,15.7
-0.84,17.36
-0.83,18.92
-0.82,14.18
-0.81,18.64
-0.8,14.8
-0.79,15.96
-0.78,19.12
-0.77,20.08
-0.76,13.64
-0.75,17
-0.74,16.96
-0.73,19.32
-0.72,20.78
-0.71,19.44
-0.7,17.8
-0.69,17.66
-0.68,19.82
-0.67,20.38
-0.66,18.34
-0.649999999999999,20.3
-0.64,18.96
-0.63,22.22
-0.62,17.58
-0.61,20.24
-0.6,22.3
-0.59,21.96
-0.58,21.22
-0.57,20.28
-0.56,17.94
-0.55,20.5
-0.54,22.36
-0.53,21.22
-0.52,21.68
-0.51,22.24
-0.5,21.9
-0.49,22.86
-0.48,23.92
-0.47,27.88
-0.46,21.84
-0.45,22.1
-0.44,20.36
-0.43,23.42
-0.42,23.08
-0.41,24.24
-0.399999999999999,25.4
-0.39,26.46
-0.38,23.42
-0.37,22.38
-0.36,25.24
-0.35,29.9
-0.34,27.36
-0.33,26.02
-0.32,26.98
-0.31,26.84
-0.3,27.8
-0.29,29.96
-0.28,25.32
-0.27,29.28
-0.26,27.34
-0.25,25.4
-0.24,24.96
-0.23,25.52
-0.22,30.08
-0.21,27.44
-0.2,26.1
-0.19,27.16
-0.18,25.92
-0.17,28.78
-0.16,27.24
-0.149999999999999,27.7
-0.14,28.86
-0.13,26.72
-0.12,31.38
-0.11,26.84
-0.0999999999999996,31.4
-0.0899999999999999,34.06
-0.0800000000000001,30.32
-0.0700000000000003,27.08
-0.0599999999999996,34.34
-0.0499999999999998,32
-0.04,31.36
-0.0300000000000002,27.72
-0.0199999999999996,28.08
-0.00999999999999979,31.54
0,33.1
0.00999999999999979,32.66
0.0200000000000005,35.62
0.0300000000000002,28.58
0.04,31.64
0.0499999999999998,32.5
0.0600000000000005,32.16
0.0700000000000003,31.12
0.0800000000000001,30.68
0.0899999999999999,27.04
0.100000000000001,33.3
0.11,32.36
0.12,31.92
0.13,33.28
0.14,30.84
0.15,29.8
0.16,33.76
0.17,36.22
0.18,31.18
0.19,34.24
0.2,33.4
0.21,36.06
0.22,32.92
0.23,34.18
0.24,33.44
0.25,36.6
0.26,34.36
0.27,35.12
0.28,31.88
0.29,35.54
0.3,36.4
0.31,38.06
0.32,33.02
0.33,36.18
0.34,34.84
0.350000000000001,35.3
0.36,33.96
0.37,34.42
0.38,35.48
0.39,39.74
0.4,38.3
0.41,34.86
0.42,35.82
0.43,33.98
0.44,36.94
0.45,38.2
0.46,37.86
0.47,37.82
0.48,40.08
0.49,40.34
0.5,40.9
0.51,40.96
0.52,39.72
0.53,38.78
0.54,39.04
0.55,37.8
0.56,39.76
0.57,39.62
0.58,37.58
0.59,41.94
0.600000000000001,40
0.61,39.96
0.62,37.92
0.63,39.98
0.64,41.34
0.65,41.8
0.66,39.56
0.67,43.12
0.68,41.38
0.69,41.64
0.7,40
0.71,42.36
0.72,40.02
0.73,41.48
0.74,40.84
0.75,40.6
0.76,41.56
0.77,44.42
0.78,43.38
0.79,44.84
0.8,36.4
0.81,41.76
0.82,39.52
0.83,45.18
0.84,42.24
0.850000000000001,44
0.86,48.36
0.87,44.32
0.88,42.78
0.89,42.54
0.9,47.1
0.91,40.66
0.92,45.72
0.93,43.58
0.94,44.74
0.95,43.7
0.96,47.56
0.97,42.62
0.98,45.28
0.99,47.04
1,44.3
1.01,42.96
1.02,45.32
1.03,47.38
1.04,42.54
1.05,46.6
1.06,47.26
1.07,45.62
1.08,46.38
1.09,45.34
1.1,46.1
1.11,47.56
1.12,46.62
1.13,48.58
1.14,48.94
1.15,48.9
1.16,45.46
1.17,46.52
1.18,41.38
1.19,47.44
1.2,48.9
1.21,48.36
1.22,48.12
1.23,45.38
1.24,48.34
1.25,46.9
1.26,48.66
1.27,49.22
1.28,49.88
1.29,50.94
1.3,50
1.31,47.16
1.32,50.32
1.33,47.68
1.34,48.84
1.35,49.6
1.36,51.46
1.37,45.42
1.38,47.48
1.39,48.94
1.4,45.7
1.41,49.46
1.42,53.32
1.43,49.68
1.44,54.04
1.45,49.4
1.46,49.06
1.47,51.72
1.48,48.98
1.49,49.94
1.5,50.9
1.51,52.56
1.52,49.32
1.53,49.58
1.54,50.34
1.55,52.8
1.56,51.06
1.57,48.82
1.58,52.28
1.59,51.14
1.6,50.3
1.61,50.46
1.62,53.02
1.63,47.58
1.64,54.54
1.65,53.9
1.66,51.16
1.67,49.82
1.68,52.38
1.69,52.94
1.7,50.5
1.71,52.86
1.72,54.82
1.73,53.88
1.74,52.84
1.75,51.2
1.76,51.96
1.77,55.62
1.78,52.08
1.79,54.14
1.8,50.8
1.81,53.56
1.82,51.82
1.83,51.78
1.84,52.74
1.85,51.9
1.86,51.96
1.87,56.22
1.88,53.28
1.89,55.64
1.9,52.8
1.91,50.86
1.92,52.32
1.93,57.28
1.94,55.44
1.95,55.1
1.96,53.86
1.97,54.52
1.98,53.38
1.99,54.64
2,57.1
2.01,55.56
2.02,55.82
2.03,55.18
2.04,53.34
2.05,56.7
2.06,57.46
2.07,51.62
2.08,53.38
2.09,55.44
2.1,56.6
2.11,58.16
2.12,56.02
2.13,59.38
2.14,57.34
2.15,55.9
2.16,55.56
2.17,57.72
2.18,58.68
2.19,54.44
2.2,52.2
2.21,59.36
2.22,56.72
2.23,54.38
2.24,58.44
2.25,57.7
2.26,56.26
2.27,57.42
2.28,52.18
2.29,55.94
2.3,56.5
2.31,61.26
2.32,54.02
2.33,57.08
2.34,58.34
2.35,58.1
2.36,57.26
2.37,55.62
2.38,57.38
2.39,55.44
2.4,61.1
2.41,60.56
2.42,55.02
2.43,56.58
2.44,57.74
2.45,59.8
2.46,58.26
2.47,59.32
2.48,58.78
2.49,58.24
2.5,61.8
2.51,60.36
2.52,52.92
2.53,58.48
2.54,58.44
2.55,59.6
2.56,61.76
2.57,56.12
2.58,58.58
2.59,60.34
2.6,60.6
2.61,63.16
2.62,60.82
2.63,58.48
2.64,55.14
2.65,57
2.66,60.76
2.67,56.52
2.68,58.28
2.69,60.64
2.7,62.3
2.71,57.16
2.72,60.52
2.73,57.78
2.74,61.94
2.75,66
2.76,59.26
2.77,56.82
2.78,60.48
2.79,64.14
2.8,58.7
2.81,61.16
2.82,61.02
2.83,59.28
2.84,58.44
2.85,57.2
2.86,61.86
2.87,60.72
2.88,60.98
2.89,60.24
2.9,61.2
2.91,63.76
2.92,62.12
2.93,57.68
2.94,58.34
2.95,60.5
2.96,61.26
2.97,61.42
2.98,59.78
2.99,62.84
3,59.6
3.01,63.46
3.02,60.82
3.03,60.78
3.04,60.44
3.05,61.8
3.06,61.66
3.07,64.52
3.08,56.88
3.09,60.14
3.1,61.2
3.11,61.26
3.12,64.12
3.13,62.18
3.14,62.24
3.15,62
3.16,63.86
3.17,62.12
3.18,59.58
3.19,63.24
3.2,62
3.21,58.46
3.22,62.52
3.23,62.38
3.24,60.64
3.25,58.4
3.26,63.36
3.27,59.22
3.28,61.28
3.29,62.14
3.3,61.4
3.31,57.46
3.32,68.52
3.33,62.28
3.34,65.04
3.35,61.5
3.36,64.16
3.37,67.32
3.38,62.28
3.39,63.84
3.4,58.8
3.41,62.06
3.42,62.42
3.43,64.28
3.44,63.84
3.45,64.5
3.46,61.96
3.47,67.92
3.48,63.68
3.49,60.14
3.5,63.5
3.51,61.76
3.52,61.22
3.53,64.08
3.54,60.84
3.55,63.8
3.56,62.36
3.57,62.72
3.58,62.38
3.59,62.14
3.6,63.5
3.61,62.26
3.62,62.62
3.63,63.28
3.64,66.34
3.65,63.3
3.66,63.06
3.67,61.92
3.68,60.58
3.69,65.14
3.7,61
3.71,62.46
3.72,61.32
3.73,61.08
3.74,60.14
3.75,61.5
3.76,63.06
3.77,60.02
3.78,62.98
3.79,62.94
3.8,64.9
3.81,63.66
3.82,64.82
3.83,61.78
3.84,59.44
3.85,61.2
3.86,63.36
3.87,63.62
3.88,63.38
3.89,64.54
3.9,68.6
3.91,64.56
3.92,62.32
3.93,64.48
3.94,62.04
3.95,60.8
3.96,63.56
3.97,61.92
3.98,63.88
3.99,65.94
4,63
4.01,63.46
4.02,62.02
4.03,63.58
4.04,61.74
4.05,62.3
4.06,62.76
4.07,64.62
4.08,64.98
4.09,63.14
4.1,64.2
4.11,64.16
4.12,62.82
4.13,62.88
4.14,65.14
4.15,63.7
4.16,64.26
4.17,61.62
4.18,61.38
4.19,62.34
4.2,65.7
4.21,65.36
4.22,64.42
4.23,62.38
4.24,62.84
4.25,61
4.26,62.26
4.27,63.02
4.28,63.08
4.29,63.54
4.3,61.7
4.31,59.86
4.32,63.72
4.33,62.38
4.34,62.34
4.35,68.3
4.36,64.16
4.37,64.22
4.38,61.28
4.39,61.94
4.4,60.5
4.41,63.66
4.42,58.52
4.43,61.68
4.44,62.34
4.45,65.5
4.46,59.06
4.47,60.22
4.48,60.88
4.49,65.44
4.5,62.1
4.51,62.96
4.52,63.42
4.53,63.28
4.54,63.54
4.55,61.4
4.56,63.96
4.57,67.22
4.58,57.98
4.59,61.24
4.6,63.3
4.61,61.16
4.62,60.42
4.63,65.78
4.64,61.54
4.65,60.2
4.66,62.76
4.67,59.72
4.68,62.28
4.69,57.94
4.7,64.2
4.71,64.86
4.72,60.62
4.73,63.78
4.74,63.54
4.75,62.9
4.76,60.56
4.77,63.02
4.78,59.88
4.79,60.84
4.8,62.1
4.81,63.16
4.82,60.12
4.83,61.58
4.84,61.84
4.85,61.7
4.86,59.76
4.87,62.92
4.88,64.68
4.89,59.94
4.9,59.3
4.91,61.56
4.92,62.62
4.93,62.58
4.94,59.64
4.95,57.1
4.96,61.76
4.97,64.52
4.98,60.88
4.99,60.34
5,62.9
5.01,61.76
5.02,61.52
5.03,57.08
5.04,57.34
5.05,59.7
5.06,59.16
5.07,58.92
5.08,64.18
5.09,59.74
5.1,57.9
5.11,60.86
5.12,62.02
5.13,65.68
5.14,61.84
5.15,61.3
5.16,59.76
5.17,62.12
5.18,60.68
5.19,58.64
5.2,62.1
5.21,59.56
5.22,59.82
5.23,58.38
5.24,60.04
5.25,59.4
5.26,58.36
5.27,61.32
5.28,61.38
5.29,59.64
5.3,60.7
5.31,59.16
5.32,60.62
5.33,61.78
5.34,54.04
5.35,59.9
5.36,58.66
5.37,59.92
5.38,59.78
5.39,55.04
5.4,52.6
5.41,60.06
5.42,55.92
5.43,58.38
5.44,55.54
5.45,60.1
5.46,57.56
5.47,58.82
5.48,59.88
5.49,58.84
5.5,61.6
5.51,55.16
5.52,60.62
5.53,56.78
5.54,58.94
5.55,59
5.56,58.86
5.57,59.02
5.58,57.08
5.59,57.74
5.6,59.5
5.61,61.06
5.62,57.22
5.63,56.68
5.64,54.74
5.65,57.3
5.66,63.96
5.67,55.92
5.68,58.78
5.69,55.54
5.7,58.5
5.71,59.26
5.72,55.82
5.73,57.08
5.74,58.94
5.75,57.8
5.76,57.16
5.77,58.62
5.78,57.38
5.79,54.54
5.8,56.8
5.81,57.26
5.82,53.72
5.83,56.18
5.84,56.94
5.85,57.9
5.86,59.66
5.87,60.02
5.88,53.48
5.89,56.24
5.9,57.1
5.91,56.66
5.92,55.12
5.93,56.88
5.94,56.54
5.95,54.4
5.96,56.76
5.97,56.92
5.98,52.98
5.99,56.54
6,56
6.01,57.36
6.02,54.02
6.03,52.68
6.04,54.64
6.05,54.8
6.06,52.86
6.07,49.62
6.08,54.98
6.09,54.14
6.1,51.5
6.11,55.76
6.12,53.92
6.13,58.28
6.14,50.14
6.15,56.8
6.16,49.36
6.17,57.82
6.18,49.48
6.19,56.04
6.2,50
6.21,48.16
6.22,59.82
6.23,50.98
6.24,49.24
6.25,54.3
6.26,53.26
6.27,47.72
6.28,48.78
6.29,53.54
6.3,56.9
6.31,53.46
6.32,48.32
6.33,51.98
6.34,54.14
6.35,49.8
6.36,55.16
6.37,50.52
6.38,51.38
6.39,48.74
6.4,54.7
6.41,49.46
6.42,49.12
6.43,47.88
6.44,53.34
6.45,51
6.46,51.86
6.47,49.82
6.48,47.98
6.49,48.64
6.5,47.6
6.51,49.26
6.52,49.52
6.53,51.08
6.54,50.74
6.55,48.1
6.56,48.96
6.57,49.42
6.58,49.58
6.59,51.94
6.6,50.8
6.61,52.56
6.62,46.42
6.63,45.38
6.64,48.74
6.65,50.6
6.66,48.86
6.67,49.82
6.68,53.28
6.69,48.84
6.7,45.9
6.71,45.16
6.72,50.82
6.73,47.58
6.74,50.24
6.75,44.8
6.76,49.06
6.77,48.92
6.78,48.78
6.79,46.24
6.8,49.6
6.81,50.56
6.82,49.32
6.83,47.18
6.84,47.54
6.85,42.9
6.86,42.16
6.87,47.92
6.88,49.58
6.89,44.74
6.9,40.9
6.91,47.86
6.92,42.62
6.93,45.28
6.94,44.74
6.95,44.9
6.96,44.46
6.97,47.22
6.98,45.58
6.99,44.34
7,47.3
7.01,42.36
7.02,43.32
7.03,45.88
7.04,49.04
7.05,40.8
7.06,42.76
7.07,43.92
7.08,41.48
7.09,42.14
7.1,45.3
7.11,43.26
7.12,42.02
7.13,42.68
7.14,45.74
7.15,46.4
7.16,42.86
7.17,42.52
7.18,44.48
7.19,41.74
7.2,39.4
7.21,46.66
7.22,45.42
7.23,44.38
7.24,44.64
7.25,40.3
7.26,42.56
7.27,42.32
7.28,40.28
7.29,42.64
7.3,40.8
7.31,40.86
7.32,41.12
7.33,38.08
7.34,36.74
7.35,40.3
7.36,40.56
7.37,42.52
7.38,37.38
7.39,40.84
7.4,39.5
7.41,37.86
7.42,40.62
7.43,41.48
7.44,41.44
7.45,37.6
7.46,45.26
7.47,38.42
7.48,38.68
7.49,37.24
7.5,40.5
7.51,38.46
7.52,40.32
7.53,41.78
7.54,38.84
7.55,39
7.56,36.56
7.57,41.82
7.58,37.88
7.59,37.44
7.6,37.2
7.61,40.26
7.62,36.42
7.63,31.18
7.64,37.24
7.65,35
7.66,34.16
7.67,34.52
7.68,37.08
7.69,34.44
7.7,38
7.71,39.16
7.72,40.72
7.73,37.58
7.74,33.04
7.75,36.9
7.76,33.56
7.77,34.32
7.78,32.88
7.79,33.74
7.8,34.5
7.81,35.36
7.82,34.52
7.83,32.88
7.84,33.64
7.85,31.6
7.86,33.86
7.87,33.12
7.88,30.58
7.89,31.14
7.9,33.4
7.91,31.96
7.92,32.52
7.93,34.68
7.94,30.04
7.95,31.5
7.96,33.06
7.97,32.02
7.98,30.98
7.99,29.24
8,32.9
8.01,32.96
8.02,31.62
8.03,31.78
8.04,30.34
8.05,29.3
8.06,29.26
8.07,30.02
8.08,28.68
8.09,26.54
8.1,26.7
8.11,26.56
8.12,29.82
8.13,26.18
8.14,26.84
8.15,28.9
8.16,31.16
8.17,29.52
8.18,30.68
8.19,26.94
8.2,26.2
8.21,29.06
8.22,25.22
8.23,27.68
8.24,24.54
8.25,28.6
8.26,26.26
8.27,23.82
8.28,27.18
8.29,27.34
8.3,25
8.31,24.26
8.32,24.82
8.33,26.28
8.34,24.44
8.35,25
8.36,24.36
8.37,25.12
8.38,23.68
8.39,20.34
8.4,24.2
8.41,26.06
8.42,23.82
8.43,24.98
8.44,21.94
8.45,25.5
8.46,21.26
8.47,21.62
8.48,21.88
8.49,22.34
8.5,19.4
8.51,23.96
8.52,23.12
8.53,20.68
8.54,20.74
8.55,23.2
8.56,20.86
8.57,23.92
8.58,20.08
8.59,18.74
8.6,18.1
8.61,16.46
8.62,22.22
8.63,20.38
8.64,16.84
8.65,17.2
8.66,16.86
8.67,20.52
8.68,16.38
8.69,23.44
8.7,20.5
8.71,17.36
8.72,19.52
8.73,19.48
8.74,21.24
8.75,18.1
8.76,17.66
8.77,19.02
8.78,14.38
8.79,15.94
8.8,17.4
8.81,21.76
8.82,16.22
8.83,20.98
8.84,12.64
8.85,14.6
8.86,13.76
8.87,18.52
8.88,16.38
8.89,15.74
8.9,13.6
8.91,13.06
8.92,15.02
8.93,15.38
8.94,13.24
8.95,16.1
8.96,11.26
8.97,14.52
8.98,13.38
8.99,13.34
9,11.7
9.01,13.76
9.02,11.52
9.03,14.08
9.04,14.14
9.05,13.9
9.06,14.56
9.07,12.42
9.08,12.58
9.09,11.84
9.1,11.3
9.11,14.26
9.12,7.42000000000002
9.13,9.48
9.14,9.84
9.15,9.8
9.16,10.16
9.17,11.62
9.18,9.18
9.19,10.24
9.2,6.80000000000002
9.21,8.76000000000001
9.22,9.52
9.23,6.98000000000001
9.24,3.64
9.25,6.5
9.26,10.66
9.27,4.31999999999999
9.28,10.18
9.29,10.14
9.3,10.6
9.31,9.66000000000001
9.32,4.72
9.33,5.27999999999999
9.34,5.34
9.35,2.3
9.36,5.66
9.37,3.72000000000001
9.38,3.98
9.39,8.44
9.4,7.2
9.41,3.05999999999999
9.42,-0.0799999999999841
9.43,2.48
9.44,1.73999999999998
9.45,7.20000000000002
9.46,0.359999999999999
9.47,3.61999999999999
9.48,2.58000000000001
9.49,4.73999999999999
9.5,3
9.51,4.36
9.52,-0.280000000000015
9.53,3.68000000000001
9.54,-0.459999999999994
9.55,5.39999999999999
9.56,0.860000000000014
9.57,0.120000000000005
9.58,-0.320000000000007
9.59,-1.86
9.6,-1.30000000000001
9.61,1.25999999999999
9.62,-2.17999999999999
9.63,-1.52
9.64,-3.25999999999999
9.65,-3.3
9.66,1.36
9.67,0.420000000000016
9.68,-0.820000000000007
9.69,-4.56000000000002
9.7,0.40000000000002
9.71,0.760000000000005
9.72,-1.58000000000001
9.73,-4.52
9.74,-6.16
9.75,-4.7
9.76,-1.84
9.77,-8.38000000000001
9.78,-4.11999999999999
9.79,-5.55999999999999
9.8,-1.90000000000001
9.81,-5.63999999999999
9.82,-2.88
9.83,-5.42000000000002
9.84,-2.86
9.85,-3.60000000000001
9.86,-5.64
9.87,-5.67999999999999
9.88,-4.62
9.89,-5.56
9.9,-6.59999999999999
9.91,-5.54000000000001
9.92,-12.08
9.93,-8.92
9.94,-7.36000000000001
9.95,-9.69999999999999
9.96,-7.83999999999999
9.97,-8.58000000000001
9.98,-10.02
9.99,-8.06
10,-6.90000000000001
